id,start_time,end_time,result,session_date,device_id
186,2025-08-23T05:41:05.884Z,2025-08-23T05:41:12.405Z,-30,23/08/2025,68A2FA6D
187,2025-08-23T05:41:18.048Z,2025-08-23T05:41:20.569Z,30,23/08/2025,68A2FA6D
188,2025-08-23T05:41:25.585Z,2025-08-23T05:41:29.173Z,30,23/08/2025,68A2FA6D
189,2025-08-23T05:42:43.564Z,2025-08-23T05:43:15.245Z,90,23/08/2025,68A2FA6D
190,2025-08-23T05:44:17.924Z,2025-08-23T05:44:46.977Z,120,23/08/2025,68A2FA6D
191,2025-08-23T05:46:01.355Z,2025-08-23T05:46:36.890Z,90,23/08/2025,68A2FA6D
192,2025-08-23T05:46:53.097Z,2025-08-23T05:47:19.029Z,30,23/08/2025,68A2FA6D
193,2025-08-23T05:47:44.359Z,2025-08-23T05:48:12.879Z,60,23/08/2025,68A2FA6D
194,2025-08-23T05:48:29.165Z,2025-08-23T05:49:00.312Z,90,23/08/2025,68A2FA6D
195,2025-08-23T05:49:36.607Z,2025-08-23T05:50:01.084Z,120,23/08/2025,68A2FA6D
196,2025-08-23T05:50:35.712Z,2025-08-23T05:51:03.150Z,30,23/08/2025,68A2FA6D
197,2025-08-23T05:51:33.376Z,2025-08-23T05:52:00.576Z,120,23/08/2025,68A2FA6D
198,2025-08-23T05:52:14.581Z,2025-08-23T05:52:38.871Z,120,23/08/2025,68A2FA6D
199,2025-08-23T05:53:10.404Z,2025-08-23T05:53:27.065Z,60,23/08/2025,68A2FA6D
200,2025-08-23T05:53:37.949Z,2025-08-23T05:53:49.461Z,30,23/08/2025,68A2FA6D
201,2025-08-23T05:55:23.808Z,2025-08-23T05:56:11.109Z,120,23/08/2025,68A2FA6D
202,2025-08-23T05:57:11.347Z,2025-08-23T05:57:37.331Z,90,23/08/2025,68A2FA6D
203,2025-08-23T06:00:49.680Z,2025-08-23T06:01:20.640Z,120,23/08/2025,68A2FA6D
204,2025-08-23T06:02:03.471Z,2025-08-23T06:02:37.712Z,60,23/08/2025,68A2FA6D
205,2025-08-23T06:03:59.387Z,2025-08-23T06:04:23.117Z,120,23/08/2025,68A2FA6D
206,2025-08-23T06:05:05.068Z,2025-08-23T06:05:09.270Z,30,23/08/2025,68A2FA6D
207,2025-08-23T06:05:25.638Z,2025-08-23T06:05:54.490Z,120,23/08/2025,68A2FA6D
208,2025-08-23T06:06:38.468Z,2025-08-23T06:06:53.595Z,90,23/08/2025,68A2FA6D
209,2025-08-23T06:07:17.965Z,2025-08-23T06:07:27.050Z,30,23/08/2025,68A2FA6D
